"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","18034","PA","Allentown-Bethlehem-Easton, PA-NJ",10608,67,8.92857142857143,72,1.71428571428571,8.55172413793103
"Zip","18072","PA","Allentown-Bethlehem-Easton, PA-NJ",10770,67,8.88888888888889,98,6,8.55172413793103
"Zip","08886","NJ","Allentown-Bethlehem-Easton, PA-NJ",10843,67,22.4137931034483,108,10,8.55172413793103
"Zip","18624","PA","Allentown-Bethlehem-Easton, PA-NJ",11113,67,7.57575757575758,105,6.28571428571429,8.55172413793103
"Zip","79109","TX","Amarillo, TX",2695,181,13.5135135135135,70,3.63636363636364,8.49655172413793
"Zip","79106","TX","Amarillo, TX",5456,181,12.0300751879699,82,4.54545454545455,8.49655172413793
"Zip","79107","TX","Amarillo, TX",6233,181,9.75609756097561,115,8.18181818181818,8.49655172413793
"Zip","79118","TX","Amarillo, TX",7173,181,13.2352941176471,82,7.27272727272727,8.49655172413793
"Zip","79015","TX","Amarillo, TX",7505,181,6.89655172413793,79,0.909090909090909,8.49655172413793
"Zip","79119","TX","Amarillo, TX",8033,181,9.05349794238683,89.5,2.72727272727273,8.49655172413793
"Zip","79110","TX","Amarillo, TX",8371,181,20.5128205128205,63,6.36363636363636,8.49655172413793
"Zip","79108","TX","Amarillo, TX",9809,181,16.1290322580645,86,10,8.49655172413793
"Zip","79124","TX","Amarillo, TX",10147,181,11.71875,112,9.09090909090909,8.49655172413793
"Zip","79102","TX","Amarillo, TX",10188,181,12.8205128205128,62,1.81818181818182,8.49655172413793
"Zip","79121","TX","Amarillo, TX",10759,181,16.2162162162162,68,5.45454545454545,8.49655172413793
"Zip","99504","AK","Anchorage, AK",3977,133,12.3404255319149,90,9.23076923076923,6.52413793103448
"Zip","99507","AK","Anchorage, AK",4557,133,9.16334661354582,82.5,4.61538461538461,6.52413793103448
"Zip","99508","AK","Anchorage, AK",5419,133,11.6788321167883,93,10,6.52413793103448
"Zip","99654","AK","Anchorage, AK",6254,133,5.93471810089021,87.5,3.07692307692308,6.52413793103448
"Zip","99645","AK","Anchorage, AK",6550,133,10.3960396039604,88,6.92307692307692,6.52413793103448
"Zip","99577","AK","Anchorage, AK",6808,133,7.20720720720721,84,3.84615384615385,6.52413793103448
"Zip","99502","AK","Anchorage, AK",7362,133,10.4938271604938,91,7.69230769230769,6.52413793103448
"Zip","99501","AK","Anchorage, AK",7909,133,5.5045871559633,107.5,6.15384615384615,6.52413793103448
"Zip","99515","AK","Anchorage, AK",7963,133,8.13008130081301,78,2.30769230769231,6.52413793103448
"Zip","99516","AK","Anchorage, AK",8548,133,5.52147239263804,78.5,0.769230769230769,6.52413793103448
"Zip","99517","AK","Anchorage, AK",8603,133,8.23529411764706,75,1.53846153846154,6.52413793103448
"Zip","99518","AK","Anchorage, AK",10111,133,10.7692307692308,77,5.38461538461539,6.52413793103448
"Zip","99567","AK","Anchorage, AK",10422,133,8.97435897435897,118,8.46153846153846,6.52413793103448
"Zip","48197","MI","Ann Arbor, MI",1702,148,14.4508670520231,61,5.83333333333333,2.15172413793103
"Zip","48103","MI","Ann Arbor, MI",1999,148,10.8695652173913,64,7.08333333333333,2.15172413793103
"Zip","48104","MI","Ann Arbor, MI",3438,148,7.6271186440678,61,0.833333333333333,2.15172413793103
"Zip","48198","MI","Ann Arbor, MI",3488,148,8.18713450292398,63,3.75,2.15172413793103
"Zip","48105","MI","Ann Arbor, MI",4055,148,8.3969465648855,71,10,2.15172413793103
"Zip","48108","MI","Ann Arbor, MI",6026,148,10.5769230769231,68,7.08333333333333,2.15172413793103
"Zip","48176","MI","Ann Arbor, MI",7590,148,6.61764705882353,70,1.66666666666667,2.15172413793103
"Zip","48130","MI","Ann Arbor, MI",9093,148,6.06060606060606,74,2.5,2.15172413793103
"Zip","48189","MI","Ann Arbor, MI",9253,148,4.16666666666667,78,3.75,2.15172413793103
"Zip","48118","MI","Ann Arbor, MI",9312,148,7.59493670886076,79,9.16666666666667,2.15172413793103
"Zip","48160","MI","Ann Arbor, MI",9691,148,7.46268656716418,70,5,2.15172413793103
"Zip","48158","MI","Ann Arbor, MI",10641,148,7.31707317073171,84,8.33333333333333,2.15172413793103
"Zip","28806","NC","Asheville, NC",3062,118,14.0684410646388,67,5.2,5.64137931034483
"Zip","28803","NC","Asheville, NC",4058,118,6.08108108108108,83.5,2.4,5.64137931034483
"Zip","28792","NC","Asheville, NC",4509,118,5.0314465408805,68,0.8,5.64137931034483
"Zip","28715","NC","Asheville, NC",5688,118,7.93650793650794,85,6,5.64137931034483
"Zip","28786","NC","Asheville, NC",6443,118,4.02010050251256,78,1.2,5.64137931034483
"Zip","28804","NC","Asheville, NC",6594,118,10.0558659217877,84,6.4,5.64137931034483
"Zip","28787","NC","Asheville, NC",6647,118,10.5691056910569,89,8.8,5.64137931034483
"Zip","28704","NC","Asheville, NC",6763,118,7.05128205128205,84.5,4.8,5.64137931034483
