"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","71343","Jonesville","LA",,,,4.11089481103578,,,,76000,0.529100529100529,16.2079510703364,0.0686842105263157,,0.187192118226601,0.105263157894737,
"Zip","71351","Marksville","LA",,,,0.0785393032154125,0,,,82900,0.36319612590799,2.0935960591133,0.0289384800965018,,0.166924265842349,0.0555555555555556,
"Zip","71360","Pineville","LA","Alexandria, LA, LA","Alexandria, LA",,7.38739343491978,100,,,142100,0.995024875621891,12.7777777777778,0.0405066854327938,,0.115044247787611,0.0358974358974359,71.5
"Zip","71362","Plaucheville","LA",,,,0.0275223199301873,,,,84600,-0.936768149882904,3.2967032967033,0.00770685579196217,,0.256,0.03125,
"Zip","71373","Vidalia","LA","Natchez, MS, MS","Natchez, MS",,0.0369201852722025,,,,90800,0.22075055187638,3.06469920544835,0.00675110132158596,,0.209503239740821,0.0618556701030928,
"Zip","71403","Anacoco","LA","Fort Polk South, LA, LA","Fort Polk South, LA",,8.56078405047996,,,,106900,1.1352885525071,20.5186020293123,0.0372310570626755,,0.26,0,
"Zip","71409","Boyce","LA","Alexandria, LA, LA","Alexandria, LA",,9.79727461905082,,,,124200,2.05423171733772,17.2804532577904,0.0748872785829306,,0.13659793814433,0,84
"Zip","71423","Dry Prong","LA","Alexandria, LA, LA","Alexandria, LA",,5.5246022689132,,,,111000,0,-0.269541778975741,0.118918918918919,,0.14390243902439,0,83
"Zip","71446","Leesville","LA","Fort Polk South, LA, LA","Fort Polk South, LA",,3.42149426058938,100,,,101400,0.495540138751239,6.51260504201681,0.0121696252465484,,0.251763046544429,0.0112044817927171,
"Zip","71457","Natchitoches","LA","Natchitoches, LA, LA","Natchitoches, LA",,2.43203329529435,,,,140700,0.213675213675214,3.00146412884334,0.0832906894100924,,0.128352490421456,0.0248756218905473,
